Marca temporal,¿Cuál es su estatura en centímetros?,¿Cuál es su talla de calzado?,Sexo
25/03/2023 10:37,172,26.5,Masculino
25/03/2023 11:01,180,29,Masculino
25/03/2023 12:15,160,23.5,Femenino
25/03/2023 12:42,175,27.5,Masculino
25/03/2023 12:43,176,27.5,Masculino
25/03/2023 13:03,165,25,Masculino
25/03/2023 13:07,154,23,Femenino
25/03/2023 13:30,161,24.5,Femenino
25/03/2023 14:00,165,25,Femenino
25/03/2023 14:19,163,23.5,Femenino
25/03/2023 14:26,167,26,Femenino
25/03/2023 14:46,173,25.5,Masculino
25/03/2023 15:38,175,26.5,Masculino
25/03/2023 16:26,168,27,Masculino
25/03/2023 16:39,167,26,Femenino
25/03/2023 16:57,178,28.5,Masculino
25/03/2023 18:06,160,24,Femenino
25/03/2023 18:52,167,25,Femenino
25/03/2023 20:14,174,28.5,Masculino
25/03/2023 20:19,104,27,Masculino
25/03/2023 20:21,176,27.5,Masculino
25/03/2023 20:24,167,26.5,Masculino
25/03/2023 20:25,175,27,Masculino
25/03/2023 20:27,154,23,Femenino
25/03/2023 20:33,160,23.5,Femenino
25/03/2023 20:35,173,26,Masculino
25/03/2023 20:35,176,29.5,Masculino
25/03/2023 20:40,174,27.5,Masculino
25/03/2023 20:45,180,27,Masculino
25/03/2023 20:59,170,26.5,Masculino
25/03/2023 21:10,187,29,Masculino
25/03/2023 21:15,174,27,Masculino
25/03/2023 21:20,187,30,Masculino
25/03/2023 21:21,160,25,Femenino
25/03/2023 21:30,173,25.5,Masculino
25/03/2023 21:42,160,23.5,Femenino
25/03/2023 21:47,169,23.5,Femenino
25/03/2023 21:47,157,23.5,Femenino
25/03/2023 22:37,161,25,Femenino
25/03/2023 22:45,120,23,Femenino
25/03/2023 22:46,164,25.5,Masculino
25/03/2023 23:08,180,26,Masculino
26/03/2023 06:32,170,26.5,Masculino
26/03/2023 10:08,163,24.5,Femenino
26/03/2023 15:03,185,27.5,Masculino
26/03/2023 16:11,154,23.5,Femenino
26/03/2023 16:12,156,24.5,Femenino
26/03/2023 16:15,153,23.5,Femenino
26/03/2023 16:18,174,25,Femenino
26/03/2023 16:19,177,25,Femenino
26/03/2023 16:20,171,27.5,Masculino
26/03/2023 16:24,174,26.5,Masculino
26/03/2023 16:26,173,28,Masculino
26/03/2023 16:27,186,29.5,Masculino
26/03/2023 16:28,163,27,Masculino
26/03/2023 16:29,159,24.5,Femenino
26/03/2023 16:30,177,25,Masculino
26/03/2023 16:32,172,25.5,Femenino
26/03/2023 16:35,162,23.5,Femenino
26/03/2023 16:36,168,23.5,Femenino
26/03/2023 16:37,180,28,Masculino
26/03/2023 16:39,172,26.5,Masculino
26/03/2023 16:39,167,27,Masculino
26/03/2023 16:40,168,27.5,Masculino
26/03/2023 16:43,180,27.5,Masculino
26/03/2023 16:56,179,27,Masculino
26/03/2023 16:56,181,25.5,Masculino
26/03/2023 17:05,154,23.5,Femenino
